oracle_cost,global_cost,point_cost,fixed_kernel_cost,learned_kernel_cost,global_regret,point_regret,fixed_kernel_regret,learned_kernel_regret,fixed_bandwidth,learned_bandwidth,metric_objective,signal_scale_mean,nuisance_scale_mean,signal_to_nuisance_scale
5.549309379734551,10.046172291602666,7.934678967845849,6.819872533543727,5.7483332630545,4.4968629118681145,2.3853695881112977,1.2705631538091753,0.19902388331994808,0.9955521179384816,1.3555514812996257,6.207730663397773,6.149578023860468,0.6398631524850038,9.610770678038994
5.614453908217411,10.204762475902516,8.13088929589759,6.87024557668568,5.983868868517355,4.590308567685107,2.5164353876801777,1.2557916684682684,0.36941496029994386,0.5929840350692039,1.5770806211519923,6.142008056189284,8.075831389773994,0.7178932259511944,11.249348925216108
5.682599596947896,10.45734475965194,7.489905761007538,7.011820716861115,6.194005507344098,4.774745162704043,1.807306164059641,1.3292211199132176,0.5114059103962009,0.5898043443100685,0.9015146813576135,6.474310192591968,3.5008847384383923,2.362634931551774,1.4817713442249913
5.584588013683949,10.052372393324516,8.598263282725684,7.123129969655636,6.107085140896119,4.467784379640567,3.013675269041735,1.5385419559716875,0.5224971272121696,0.5994225482389139,1.3169780189886853,6.004874641872137,4.3878181177109745,0.6006042499389515,7.305672775637161
5.547687861663506,10.257316621066561,7.7161834285263895,6.7482821840802805,6.077052321736696,4.709628759403054,2.168495566862884,1.200594322416775,0.5293644600731903,0.5899080497443875,0.9752900519825695,5.582137716005483,7.865815600154955,1.0433822556281023,7.538766887903262
5.6556712614489495,10.34044605291387,7.888006070427273,6.892087397201254,6.085791774040323,4.684774791464921,2.232334808978322,1.2364161357523045,0.43012051259137307,0.5837260163034865,1.240211069300949,5.462415989447457,4.406030416771688,0.5948729066664421,7.406675219858757
5.711813267481462,10.104253591071197,7.88640453826136,6.867104664270133,6.1156506483928155,4.392440323589734,2.1745912707798967,1.1552913967886702,0.4038373809113521,0.5963977168261957,1.4496679392859564,6.862616115658961,5.446323899020807,0.8435000281792062,6.45681531366079
5.6416310981603806,10.481795207871903,7.991351154654062,6.855236016083434,6.057803144565536,4.840164109711522,2.3497200564936818,1.2136049179230535,0.4161720464051556,0.5911027393133435,0.6971723689130376,5.945124105205802,3.682793348948414,0.5194839341101054,7.0893305974075425
5.5769891496559945,10.216582654637948,8.243440254534425,7.005061087561132,6.096048805547044,4.639593504981954,2.6664511048784307,1.4280719379051365,0.5190596558910491,0.5832872202801517,0.695665508157485,5.568066461302514,3.778583222256171,0.5142523332897934,7.347722076599408
5.399426775933132,10.205789774629453,8.192145626514922,6.786407028415043,5.944836781663793,4.806362998696321,2.792718850581789,1.3869802524819106,0.5454100057306611,0.573257945734245,1.2042128567489065,6.320218832941603,4.044102427236188,0.5248530613212746,7.705208800831782
5.648785676845564,9.905789733427591,8.153482668780825,6.686150094877553,5.871695759068367,4.257004056582028,2.504696991935262,1.03736441803199,0.22291008222280415,0.5783771103766968,1.2926504012817661,5.355322037378254,4.8074612255463185,0.5345465665744169,8.993531202256909
5.49408898796736,10.007076385069315,7.563190684356084,6.823730635631657,5.804800186963572,4.512987397101956,2.069101696388725,1.3296416476642976,0.3107111989962126,0.5998387541221212,1.551256993030305,5.7549127793873085,8.549046706702239,0.43086485542922975,19.841596730338182
5.741807775750365,9.961869116089625,7.997147337728273,7.084696373875226,6.083470428250301,4.22006134033926,2.2553395619779084,1.3428885981248604,0.34166265249993605,0.5989150576357426,1.4682923437514408,6.494096436088049,7.5843800791148315,0.6279082818903313,12.078802426816052
5.528339408275931,10.346987973572672,7.792465088185365,6.8598353457417005,6.202998696854607,4.81864856529674,2.264125679909433,1.3314959374657687,0.6746592885786763,0.5989947455740694,0.6816544107944625,6.269569164906357,2.5774351914807045,0.7129094280983717,3.6153753757413543
5.449172535252672,10.241145921387146,7.50848945173137,6.965357722071054,5.723635348035667,4.791973386134473,2.0593169164786973,1.5161851868183818,0.27446281278299467,0.5947306724432279,1.8384543279939267,6.258506394038444,41.73608816108763,0.3524784243936998,118.40749751670083
5.433991193290179,9.990597579601378,7.351007797296441,6.3229608130202815,5.630026840887811,4.556606386311199,1.917016604006262,0.8889696197301022,0.19603564759763117,0.6085974290642565,1.3280576540916598,5.9070506637053315,4.886610624221559,0.5462478601799045,8.945775316377759
5.646541632618718,10.209199037005812,8.014078972501604,6.794317660970788,5.980093134234451,4.562657404387093,2.367537339882885,1.1477760283520688,0.33355150161573227,0.596959188069183,1.2725262561150308,7.553821595177995,4.333442594893854,0.6091901402267809,7.113448345176204
5.8052382768849515,10.379892491835198,8.03119825396622,7.048373215386807,6.2869467562967145,4.5746542149502485,2.2259599770812692,1.2431349385018555,0.48170847941176304,0.6098521659713912,1.4848799566685298,7.18030236774973,4.3768686049163685,1.2053122847592792,3.6313150212274667
5.49211731483493,10.002200104668505,7.276689745658813,6.808444474019728,5.928164884818112,4.510082789833576,1.784572430823883,1.3163271591847974,0.43604756998318167,0.5763505115768291,1.6364358128778884,6.261811844930707,8.72527614026097,0.28174277444958773,30.968943772583543
5.558458570620145,10.395880202926492,7.625442742067823,6.626408550098594,5.836592087242418,4.837421632306346,2.0669841714476775,1.0679499794784488,0.27813351662227354,0.5831352591039147,1.3533638973694926,6.242598941532187,5.426078458402931,0.4934991145219747,10.995112855792808
