replication,alpha,pred_scale_x1,pred_scale_x2,pred_x2_share,pred_regret,pred_bandwidth,dec_scale_x1,dec_scale_x2,dec_x2_share,dec_regret,dec_bandwidth
2,0.9,22.723261577473746,0.044007766956805604,0.001932940059303643,0.23488563584503763,0.8947812916505886,1.5325910965910818,0.652489762092631,0.29861126626027434,0.10229823473722277,0.3389761240893625
2,0.95,22.723261577473746,0.044007766956805604,0.001932940059303643,0.23918710684596967,0.8947812916505886,1.0311377485793083,0.969802532569281,0.4846734016532419,0.09958088199020343,0.5861186317637985
2,0.99,22.723261577473746,0.044007766956805604,0.001932940059303643,0.1588416801616561,1.5658672603885297,1.2405331911797546,0.8061049934899315,0.39386785584674877,0.06809942823309617,0.5842958518939749
3,0.5,2.258847237219128,0.44270368687308936,0.16387019875327646,0.09807395388760998,0.3606691330557539,17.405247918800296,0.05745393600052365,0.0032900943094741376,0.09765552823155854,0.8302416747445108
3,0.7,2.258847237219128,0.44270368687308936,0.16387019875327646,0.15139309753566776,0.3606691330557539,12.057344845442707,0.08293699921653716,0.00683155467704589,0.19443329242780416,0.69300878402739
3,0.85,2.258847237219128,0.44270368687308936,0.16387019875327646,0.2125253430648414,0.3606691330557539,7.879507248399937,0.12691148931972443,0.015851218063554665,0.3176430794464621,0.565585209823975
3,0.9,2.258847237219128,0.44270368687308936,0.16387019875327646,0.23375897483486902,0.3606691330557539,0.7507774313455013,1.3319526643307005,0.6395224552119675,0.20532986978575413,0.3400743595347446
3,0.95,2.258847237219128,0.44270368687308936,0.16387019875327646,0.22879419230555784,0.6311709828475692,1.249410633433877,0.8003773725309206,0.3904683656074949,0.20203218958689703,0.3401887012013779
3,0.99,2.258847237219128,0.44270368687308936,0.16387019875327646,0.19426762019297278,0.6311709828475692,0.8039142805669764,1.2439137158936022,0.607430759831175,0.19476052193435517,0.33782386045114376
4,0.5,7.330174588023907,0.1364223986743518,0.01827102747307619,0.017222989089967444,0.5089046749154413,15.166556616918445,0.06593454435692345,0.0043285463722798545,0.013222283060474904,0.7178698400115417
4,0.7,7.330174588023907,0.1364223986743518,0.01827102747307619,0.07508362602677532,0.5089046749154413,25.16863401506803,0.039731993377205836,0.0015761431488219005,0.09542853151734132,0.9209868300016961
4,0.85,7.330174588023907,0.1364223986743518,0.01827102747307619,0.16606641837625707,0.5089046749154413,5.350510986850701,0.18689803692723514,0.033751893010735674,0.1493589013887377,0.4431507017971056
4,0.9,7.330174588023907,0.1364223986743518,0.01827102747307619,0.2021026562656733,0.5089046749154413,6.383690345863094,0.15664920223582632,0.023951233889891774,0.1936618741695652,0.477874014384817
4,0.95,7.330174588023907,0.1364223986743518,0.01827102747307619,0.22212641245497594,0.5089046749154413,4.913738235718222,0.20351104434724399,0.03976961707533631,0.19840362489034702,0.4290312960712279
4,0.99,7.330174588023907,0.1364223986743518,0.01827102747307619,0.19667444612102258,2.5445233745772065,2.1236544633750136,0.4708863975972587,0.18149122439366777,0.1912530729219718,0.5987206651050855
5,0.5,0.5125185168873871,1.951149016182228,0.791969285624829,0.19720062625484247,0.3352120796557161,18.70660950462007,0.05345704146724315,0.0028495123583872576,0.032391540112057804,0.7778561924313645
5,0.7,0.5125185168873871,1.951149016182228,0.791969285624829,0.3289717366225223,0.5866211393975032,9.747966924929603,0.10258549374460683,0.010414186878507455,0.1679018176689293,0.5657874559711765
5,0.85,0.5125185168873871,1.951149016182228,0.791969285624829,0.3459806289007574,0.3352120796557161,7.745673850024381,0.12910432576461406,0.01639466190445152,0.29589037430342646,0.5085909302170484
5,0.9,0.5125185168873871,1.951149016182228,0.791969285624829,0.33531760004319533,0.5866211393975032,7.202663039212468,0.13883753752686162,0.01891132964924798,0.31960854914307013,0.49187451859342063
5,0.95,0.5125185168873871,1.951149016182228,0.791969285624829,0.2940208524415298,0.8380301991392902,2.1952770713799388,0.4555233656093377,0.17184370398199858,0.26868254601410807,0.34191072513654003
5,0.99,0.5125185168873871,1.951149016182228,0.791969285624829,0.21113705830852986,1.2570452987089353,1.4807237920257679,0.6753453989092095,0.31322992868162386,0.22439606006312268,0.5688680882654895
6,0.5,236.95629647619634,0.004220187498163633,1.7809665329828434e-05,0.0328774293688211,3.146156010008513,13.707105855654177,0.07295486082406669,0.005294233626766754,0.02934852810352806,0.7600726030514682
6,0.7,236.95629647619634,0.004220187498163633,1.7809665329828434e-05,0.08902672755133378,3.146156010008513,14.824608247501354,0.0674554081500634,0.0045296212606816665,0.08203058676490926,0.7901304940503785
6,0.85,236.95629647619634,0.004220187498163633,1.7809665329828434e-05,0.17373226071134262,3.146156010008513,11.928235882093553,0.08383469356949766,0.006979204213081315,0.15031272660079043,0.7103091896581436
6,0.9,236.95629647619634,0.004220187498163633,1.7809665329828434e-05,0.21090982646462159,5.505773017514898,3.875181035061677,0.25805246024695305,0.06243355487655172,0.10613485948312368,0.428373036019587
6,0.95,236.95629647619634,0.004220187498163633,1.7809665329828434e-05,0.2295871192177075,5.505773017514898,1.4963244378586806,0.6683042625642422,0.3087385205756857,0.09530438192737264,0.6042661034131259
6,0.99,236.95629647619634,0.004220187498163633,1.7809665329828434e-05,0.12497436060000518,23.596170075063846,1.0266601166870615,0.9740321882054879,0.4868475706252091,0.05078623983778806,1.2679924443740243
7,0.5,13.452100627020492,0.07433783226326415,0.005495743205946649,0.027145779648543256,0.7224121203800946,12.453809435660403,0.08029671605031843,0.0064062578598282505,0.02673397927714649,0.6957080695478569
7,0.7,13.452100627020492,0.07433783226326415,0.005495743205946649,0.1109859743133117,0.7224121203800946,15.817506346183656,0.0632210904875833,0.0039809946200320325,0.11234817458929758,0.7828923631635416
7,0.85,13.452100627020492,0.07433783226326415,0.005495743205946649,0.21945706250130864,0.7224121203800946,6.023369364394655,0.16602003621282146,0.02682333029434647,0.14806020641120626,0.49408634274873137
7,0.9,13.452100627020492,0.07433783226326415,0.005495743205946649,0.26720600151436946,0.7224121203800946,1.8008598004746001,0.5552903117369041,0.2356769667853223,0.14833799715882456,0.34439877963409726
7,0.95,13.452100627020492,0.07433783226326415,0.005495743205946649,0.28615837690725443,0.7224121203800946,0.9544420983177148,1.047732493948648,0.5232972678784554,0.1356533274026917,0.33076939044539455
7,0.99,13.452100627020492,0.07433783226326415,0.005495743205946649,0.17344227826591568,1.8060303009502365,0.26502577359446533,3.7732179268351844,0.9343710302658881,0.08344168498764516,0.39129659020252805
8,0.5,8.644091221377494,0.11568596100963449,0.013206495850401175,0.0195873732671904,0.5940275772891551,17.488597540858095,0.057180113937880354,0.003258910209787749,0.022489419377670017,0.8370255310891186
8,0.7,8.644091221377494,0.11568596100963449,0.013206495850401175,0.08130684334082616,0.5940275772891551,27.341666118273498,0.03657421591187016,0.0013358862901865318,0.10149027485773265,1.0445525947433916
8,0.85,8.644091221377494,0.11568596100963449,0.013206495850401175,0.15707872675164292,0.5940275772891551,2.8665779826920277,0.34884800135836225,0.10849200170949895,0.10073590632203089,0.38509724549268864
8,0.9,8.644091221377494,0.11568596100963449,0.013206495850401175,0.21521698987383175,1.0395482602560215,3.4326504548659327,0.2913200785073982,0.07822835221080766,0.1151310934989237,0.4049747742051274
8,0.95,8.644091221377494,0.11568596100963449,0.013206495850401175,0.22975006109083748,2.2276034148343316,0.4991412739631394,2.0034408135798607,0.8005494898857886,0.1425803170525248,0.35659238876833804
8,0.99,8.644091221377494,0.11568596100963449,0.013206495850401175,0.15626474907993632,2.2276034148343316,0.40354438060252273,2.4780421883385495,0.8599575716544176,0.04603575144144072,0.6473585538464395
9,0.5,1.947101843769004,0.5135838185352958,0.20871573578168948,0.05293501376297716,0.35170550159725605,15.545369624842428,0.06432783678568442,0.0041210175241266295,0.017806437446932444,0.7766676694122053
9,0.7,1.947101843769004,0.5135838185352958,0.20871573578168948,0.08000204805551903,0.35170550159725605,14.699333093651726,0.0680302972678315,0.004606800514549759,0.11022897029821366,0.7555452192425558
9,0.85,1.947101843769004,0.5135838185352958,0.20871573578168948,0.14212294778724988,0.35170550159725605,3.3231389980353643,0.3009203047453624,0.08303404541820478,0.14317687775751298,0.3965603011489591
